,DateTime,Close,WAP,Volume,High,Low,Time Received,Date,same_day
81,20220608  10:45:00,10.4633,10.22565,6239,10.49,10.02,2022-06-08 16:33:30.243875,2022-06-08,True
82,20220608  10:50:00,10.2704,10.27734,5029,10.499,10.1,2022-06-08 16:33:30.243875,2022-06-08,True
83,20220608  10:55:00,10.1783,10.20441,2943,10.3,10.08,2022-06-08 16:33:30.243875,2022-06-08,True
84,20220608  11:00:00,9.9201,9.96485,7368,10.29,9.76,2022-06-08 16:33:30.243875,2022-06-08,True
85,20220608  11:05:00,10.275,10.22619,6262,10.41,9.9,2022-06-08 16:33:30.243875,2022-06-08,True
86,20220608  11:10:00,10.26,10.28262,3315,10.3899,10.2,2022-06-08 16:33:30.243875,2022-06-08,True
87,20220608  11:15:00,10.09,10.11639,4252,10.37,9.91,2022-06-08 16:33:30.243875,2022-06-08,True
88,20220608  11:20:00,9.9499,9.98387,4236,10.09,9.86,2022-06-08 16:33:30.243875,2022-06-08,True
89,20220608  11:25:00,9.98,9.98835,4431,10.19,9.85,2022-06-08 16:33:30.243875,2022-06-08,True
90,20220608  11:30:00,10.19,10.05358,5431,10.36,9.81,2022-06-08 16:33:30.243875,2022-06-08,True
91,20220608  11:35:00,9.9723,9.99511,3897,10.2499,9.79,2022-06-08 16:33:30.243875,2022-06-08,True
92,20220608  11:40:00,10.05,9.97993,1883,10.06,9.87,2022-06-08 16:33:30.243875,2022-06-08,True
93,20220608  11:45:00,9.9592,9.96655,2092,10.05,9.84,2022-06-08 16:33:30.243875,2022-06-08,True
94,20220608  11:50:00,9.84,9.77216,4731,9.95,9.6401,2022-06-08 16:33:30.243875,2022-06-08,True
95,20220608  11:55:00,9.8399,9.82167,1638,9.89,9.73,2022-06-08 16:33:30.243875,2022-06-08,True
96,20220608  12:00:00,10.22,10.08522,6045,10.27,9.73,2022-06-08 16:33:30.243875,2022-06-08,True
97,20220608  12:05:00,10.375,10.45378,8792,10.7,10.2,2022-06-08 16:33:30.244909,2022-06-08,True
98,20220608  12:10:00,10.715,10.6662,9846,10.88,10.34,2022-06-08 16:33:30.244909,2022-06-08,True
