,DateTime,Close,WAP,Volume,High,Low,Time Received
493,20220503  12:13:00,7.335,7.31683,854,7.37,7.2501,2022-05-03 18:30:28.013145
494,20220503  12:14:00,7.3801,7.37434,916,7.4,7.3201,2022-05-03 18:30:28.013145
495,20220503  12:15:00,7.44,7.41781,1230,7.49,7.36,2022-05-03 18:30:28.013145
496,20220503  12:16:00,7.375,7.41303,517,7.45,7.36,2022-05-03 18:30:28.014143
497,20220503  12:17:00,7.335,7.37166,587,7.42,7.32,2022-05-03 18:30:28.014143
498,20220503  12:18:00,7.365,7.35816,466,7.38,7.3201,2022-05-03 18:30:28.014143
499,20220503  12:19:00,7.4101,7.42691,1057,7.49,7.365,2022-05-03 18:30:28.014143
500,20220503  12:20:00,7.35,7.38859,782,7.44,7.3301,2022-05-03 18:30:28.014143
501,20220503  12:21:00,7.3783,7.36428,176,7.3981,7.35,2022-05-03 18:30:28.014143
502,20220503  12:22:00,7.32,7.3566,286,7.3972,7.32,2022-05-03 18:30:28.014143
503,20220503  12:23:00,7.33,7.32586,242,7.34,7.32,2022-05-03 18:30:28.014143
504,20220503  12:24:00,7.2393,7.24282,963,7.32,7.16,2022-05-03 18:30:28.014143
505,20220503  12:25:00,7.18,7.23896,456,7.27,7.18,2022-05-03 18:30:28.014143
506,20220503  12:26:00,7.2698,7.25202,291,7.28,7.1893,2022-05-03 18:30:28.014143
507,20220503  12:27:00,7.3,7.27996,608,7.3,7.23,2022-05-03 18:30:28.014143
508,20220503  12:28:00,7.56,7.50595,2356,7.62,7.305,2022-05-03 18:30:28.014143
509,20220503  12:29:00,7.6372,7.55023,2658,7.65,7.45,2022-05-03 18:30:28.014143
510,20220503  12:30:00,7.6,7.60886,1305,7.67,7.55,2022-05-03 18:30:28.014143
511,20220503  12:31:00,7.719,7.65633,1968,7.74,7.58,2022-05-03 18:30:28.014143
512,20220503  12:32:00,7.7,7.66617,1462,7.735,7.57,2022-05-03 18:30:28.014143
513,20220503  12:33:00,7.68,7.67598,626,7.7,7.63,2022-05-03 18:30:28.014143
514,20220503  12:34:00,7.56,7.60507,858,7.698,7.53,2022-05-03 18:30:28.014143
515,20220503  12:35:00,7.7698,7.66834,1578,7.77,7.54,2022-05-03 18:30:28.014143
516,20220503  12:36:00,7.9977,7.97423,5517,8.24,7.75,2022-05-03 18:30:28.014143
517,20220503  12:37:00,7.86,7.90937,3285,8.06,7.75,2022-05-03 18:30:28.014143
518,20220503  12:38:00,7.9199,7.88974,1665,7.94,7.81,2022-05-03 18:30:28.015142
519,20220503  12:39:00,7.955,7.93818,2084,7.97,7.88,2022-05-03 18:30:28.015142
520,20220503  12:40:00,8.0223,8.00214,2692,8.1,7.93,2022-05-03 18:30:28.015142
521,20220503  12:41:00,7.971,7.9923,2312,8.05,7.91,2022-05-03 18:30:28.015142
522,20220503  12:42:00,7.84,7.88553,1332,7.9791,7.78,2022-05-03 18:30:28.015142
523,20220503  12:43:00,7.865,7.85046,983,7.93,7.8,2022-05-03 18:30:28.015142
524,20220503  12:44:00,7.7789,7.77132,1423,7.87,7.7,2022-05-03 18:30:28.015142
525,20220503  12:45:00,7.8305,7.78968,929,7.88,7.73,2022-05-03 18:30:28.015142
526,20220503  12:46:00,7.8477,7.82546,782,7.87,7.7701,2022-05-03 18:30:28.015142
527,20220503  12:47:00,7.931,7.89802,1461,7.95,7.83,2022-05-03 18:30:28.015142
528,20220503  12:48:00,7.9081,7.94695,1867,7.99,7.9,2022-05-03 18:30:28.015142
529,20220503  12:49:00,8.0614,8.00089,2243,8.07,7.9001,2022-05-03 18:30:28.015142
530,20220503  12:50:00,8.02,8.07832,2531,8.15,8.01,2022-05-03 18:30:28.015142
531,20220503  12:51:00,8.13,8.11659,2316,8.18,8.02,2022-05-03 18:30:28.016137
532,20220503  12:52:00,8.0862,8.11353,1730,8.18,8.04,2022-05-03 18:30:28.016137
533,20220503  12:53:00,8.0262,8.04895,1206,8.12,8.0,2022-05-03 18:30:28.016137
534,20220503  12:54:00,8.3565,8.23275,3365,8.36,8.0201,2022-05-03 18:30:28.016137
535,20220503  12:55:00,8.1401,8.19339,2955,8.35,8.08,2022-05-03 18:30:28.016137
536,20220503  12:56:00,8.14,8.13645,1546,8.18,8.1,2022-05-03 18:30:28.016137
537,20220503  12:57:00,8.1129,8.12136,687,8.15,8.1,2022-05-03 18:30:28.016137
538,20220503  12:58:00,8.14,8.06132,1385,8.15,7.96,2022-05-03 18:30:28.016137
539,20220503  12:59:00,8.22,8.1888,1702,8.23,8.1226,2022-05-03 18:30:28.016137
