,DateTime,Close,WAP,Volume,High,Low,Time Received,VWAP
396,2022-05-03 10:36:00.000000,7.27,7.24638,2460,7.3,7.1744,2022-05-04 00:29:02.161288,7.382455565794381
397,2022-05-03 10:37:00.000000,7.1296,7.16807,1192,7.2798,7.1,2022-05-04 00:29:02.161288,7.380211676566316
398,2022-05-03 10:38:00.000000,7.0101,7.08184,951,7.16,7.01,2022-05-04 00:29:02.161288,7.377538792523279
399,2022-05-03 10:39:00.000000,7.025,6.97811,1235,7.07,6.9,2022-05-04 00:29:02.161288,7.373471866415409
400,2022-05-03 10:40:00.000000,7.0723,7.04208,447,7.1,7.01,2022-05-04 00:29:02.161288,7.37226270357555
401,2022-05-03 10:41:00.000000,7.08,7.08464,463,7.14,7.0301,2022-05-04 00:29:02.161288,7.371110235820204
402,2022-05-03 10:42:00.000000,7.0107,7.06414,325,7.09,7.0107,2022-05-04 00:29:02.161288,7.370177644029742
403,2022-05-03 10:43:00.000000,7.0799,7.04389,390,7.0799,7.02,2022-05-04 00:29:02.161288,7.369141530368165
404,2022-05-03 10:44:00.000000,7.11,7.08829,380,7.13,7.07,2022-05-04 00:29:02.161288,7.368279385957428
405,2022-05-03 10:45:00.000000,7.1801,7.14919,1130,7.2,7.09,2022-05-04 00:29:02.161288,7.366258177498988
406,2022-05-03 10:46:00.000000,7.0948,7.13514,447,7.18,7.0948,2022-05-04 00:29:02.161288,7.3653431397650255
407,2022-05-03 10:47:00.000000,7.0843,7.08763,367,7.13,7.07,2022-05-04 00:29:02.161288,7.364509387471806
408,2022-05-03 10:48:00.000000,7.08,7.08704,76,7.12,7.07,2022-05-04 00:29:02.161288,7.364334332399159
409,2022-05-03 10:49:00.000000,7.08,7.09574,220,7.125,7.0701,2022-05-04 00:29:02.162290,7.3638319826686125
410,2022-05-03 10:50:00.000000,7.13,7.11274,232,7.13,7.0911,2022-05-04 00:29:02.162290,7.363353362868849
411,2022-05-03 10:51:00.000000,7.1591,7.13578,330,7.16,7.11,2022-05-04 00:29:02.162290,7.3627472807602565
412,2022-05-03 10:52:00.000000,7.1399,7.13472,288,7.16,7.11,2022-05-04 00:29:02.162290,7.362205726498573
413,2022-05-03 10:53:00.000000,6.97,7.06274,922,7.12,6.97,2022-05-04 00:29:02.162290,7.359601833787243
414,2022-05-03 10:54:00.000000,7.035,7.01295,707,7.05,6.97,2022-05-04 00:29:02.162290,7.357622158952608
415,2022-05-03 10:55:00.000000,7.018,7.0125,138,7.0372,6.98,2022-05-04 00:29:02.162290,7.357230955756807
416,2022-05-03 10:56:00.000000,7.02,7.01478,178,7.04,7.0,2022-05-04 00:29:02.162290,7.356739707402772
417,2022-05-03 10:57:00.000000,7.0046,7.02764,258,7.06,7.0,2022-05-04 00:29:02.162290,7.3560334392260325
